# file created by code in factory_simulation.jl
# file created on 2023-11-07 at 14:04:37
# parameter seed = 1
# parameter T = 1000.0
# parameter mean_interarrival = 60.0
# parameter mean_construction_time = 25.0
# parameter mean_interbreakdown_time = 2880.0
# parameter mean_repair_time = 180.0
id,arrival_time,start_service_time,completion_time,interrupted
1,0.0,0.0,25.0,0
2,40.49940643026974,40.49940643026974,65.49940643026974,0
3,51.69359364153775,65.49940643026974,90.49940643026974,0
4,117.2350182717608,117.2350182717608,142.2350182717608,0
5,182.98666971174194,730.5865405812849,755.5865405812849,0
6,209.09646771827397,755.5865405812849,780.5865405812849,0
7,378.3393017402848,780.5865405812849,805.5865405812849,0
8,449.01629628507334,805.5865405812849,830.5865405812849,0
9,450.5289898619322,830.5865405812849,855.5865405812849,0
10,471.8491930468444,855.5865405812849,880.5865405812849,0
11,494.567756899112,880.5865405812849,905.5865405812849,0
12,515.3493351445701,905.5865405812849,930.5865405812849,0
13,643.667840213669,930.5865405812849,955.5865405812849,0
14,665.4803608188486,955.5865405812849,980.5865405812849,0
15,666.4093487705566,980.5865405812849,1005.5865405812849,0
